Table, Reward 1, Reward 2, Reward 3, Reward 4, Reward 5, Reward 6, Reward 7, Reward 8, Reward 9, Reward 10,Seconds
1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,,,56
1,Raw Meat x1,Health Horn x1,Health Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,16
1,Raw Meat x1,Health Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,,2
1,Raw Meat x1,Raw Meat x1,Field Horn x1,Nulberry x3,Nulberry x3,Nulberry x3,Warm Pelt x2,,,,57
1,Raw Meat x1,Raw Meat x1,Field Horn x1,Nulberry x3,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,Warm Pelt x2,,,7
1,Raw Meat x1,Raw Meat x1,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,50
1,Raw Meat x1,Raw Meat x1,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,,,,,,41
1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Field Horn x1,Field Horn x1,Field Horn x1,Nulberry x3,Warm Pelt x2,,,45
1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Health Horn x1,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,Warm Pelt x2,44
2,Raw Meat x1,Field Horn x1,Nulberry x3,Warm Pelt x1,Warm Pelt x2,,,,,,40
2,Raw Meat x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,,,,36
2,Raw Meat x1,Nulberry x3,Warm Pelt x1,Warm Pelt x2,,,,,,,58
2,Raw Meat x1,Raw Meat x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,,,5
3,Raw Meat x1,Field Horn x1,Field Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,Warm Pelt x2,10
3,Raw Meat x1,Raw Meat x1,Field Horn x1,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,47
3,Raw Meat x1,Raw Meat x1,Field Horn x1,Warm Pelt x2,Warm Pelt x2,,,,,,9
3,Raw Meat x1,Raw Meat x1,Health Horn x1,Nulberry x3,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,,,35
4,Raw Meat x1,Field Horn x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,,,,,,54
4,Raw Meat x1,Raw Meat x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,Warm Pelt x2,46
4,Raw Meat x1,Raw Meat x1,Nulberry x3,Nulberry x3,Warm Pelt x2,,,,,,26
4,Raw Meat x1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,34
5,Field Horn x1,Field Horn x1,Field Horn x1,Health Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,6
5,Health Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,,,,,,48
5,Raw Meat x1,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,,21
